id,hdate,product,price
17528,2016-02-26,4,1066.92004
17529,2016-02-29,4,1068.70996
17530,2016-03-01,4,1069.5
17531,2016-03-02,4,1084.58997
17532,2016-03-03,4,1092.55005
17533,2016-03-04,4,1101.21997
17534,2016-03-07,4,1116.17004
17535,2016-03-08,4,1115.31006
17536,2016-03-10,4,1112.82996
17537,2016-03-11,4,1118.26001
17538,2016-03-14,4,1132.47998
17539,2016-03-15,4,1123.70996
17540,2016-03-16,4,1126.58997
17541,2016-03-17,4,1137.73999
17542,2016-03-18,4,1131.43005
17543,2016-03-21,4,1138.13
17544,2016-03-22,4,1134.25
17545,2016-03-23,4,1137.70996
17546,2016-03-24,4,1127.23999
17547,2016-03-28,4,1117.42004
17548,2016-03-29,4,1112.09998
17549,2016-03-30,4,1128.35999
17550,2016-03-31,4,1129.72998
17551,2016-04-01,4,1131.71997
17552,2016-04-04,4,1134.01001
17553,2016-04-05,4,1134.26001
17554,2016-04-06,4,1147.82996
17555,2016-04-07,4,1150.88
17556,2016-04-08,4,1146.78003
17557,2016-04-11,4,1139.82996
17558,2016-04-12,4,1151.29004
17559,2016-04-13,4,1167.34998
17560,2016-04-14,4,1159.65002
17561,2016-04-15,4,1148.32996
17562,2016-04-18,4,1164.87
17563,2016-04-19,4,1166.72998
17564,2016-04-20,4,1169
17565,2016-04-21,4,1171.72998
17566,2016-04-22,4,1177.35999
17567,2016-04-25,4,1175.27002
17568,2016-04-26,4,1161.31006
17569,2016-04-27,4,1168.78003
17570,2016-04-28,4,1176.87
17571,2016-04-29,4,1173.48999
17572,2016-05-02,4,1173.37
17573,2016-05-03,4,1175.93994
17574,2016-05-04,4,1174.94995
17575,2016-05-09,4,1157.21997
17576,2016-05-10,4,1160.66003
17577,2016-05-11,4,1173.83997
17578,2016-05-12,4,1173.80005
17579,2016-05-13,4,1168.39001
17580,2016-05-16,4,1161.31006
17581,2016-05-17,4,1160.96997
17582,2016-05-18,4,1166.12
17583,2016-05-19,4,1154.98999
17584,2016-05-20,4,1159.89001
17585,2016-05-23,4,1165.21997
17586,2016-05-24,4,1164.06995
17587,2016-05-25,4,1174.18005
17588,2016-05-26,4,1181.25
17589,2016-05-27,4,1187.75
17590,2016-05-30,4,1193.12
17591,2016-05-31,4,1180.95996
17592,2016-06-01,4,1191.03003
17593,2016-06-02,4,1193.64001
17594,2016-06-03,4,1200.33997
17595,2016-06-06,4,1212.77002
17596,2016-06-07,4,1223.15002
17597,2016-06-08,4,1217.40002
17598,2016-06-09,4,1217.95996
17599,2016-06-10,4,1213.80005
17600,2016-06-13,4,1202.06995
17601,2016-06-14,4,1195.67004
17602,2016-06-15,4,1199.60999
17603,2016-06-16,4,1198.19995
17604,2016-06-17,4,1199.32996
17605,2016-06-20,4,1209.72998
17606,2016-06-22,4,1224.31006
17607,2016-06-23,4,1219.22998
17608,2016-06-24,4,1206.68005
17609,2016-06-27,4,1203.78003
17610,2016-06-28,4,1214.39001
17611,2016-06-29,4,1236.60999
17612,2016-06-30,4,1242.76001
17613,2016-07-01,4,1260.95898
17614,2016-07-12,4,1276.18005
17615,2016-07-13,4,1289.68005
17616,2016-07-14,4,1278.95996
17617,2016-07-15,4,1289.57996
17618,2016-07-18,4,1316.92004
17619,2016-07-19,4,1320.65002
17620,2016-07-20,4,1330.18005
17621,2016-07-21,4,1319.13
17622,2016-07-22,4,1314.66003
17623,2016-07-25,4,1319.92004
17624,2016-07-26,4,1323.68994
17625,2016-07-27,4,1339.04004
17626,2016-07-28,4,1346.17004
17627,2016-07-29,4,1339.78003
17628,2016-08-01,4,1380.67004
17629,2016-08-02,4,1384.67004
17630,2016-08-03,4,1379.56006
17631,2016-08-04,4,1413.35999
17632,2016-08-08,4,1427.43994
17633,2016-08-09,4,1424.70996
17634,2016-08-10,4,1435.34998
17635,2016-08-11,4,1421.5
17636,2016-08-12,4,1415.90002
17637,2016-08-15,4,1393.82996
17638,2016-08-16,4,1402.76001
17639,2016-08-18,4,1422.63
